,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,url,eventtype,country
0,us6000mgf6,2024-03-03 07:05:39.346,"8 km ESE of Murghob, Tajikistan",38.144,74.0547,167.503,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgf6,earthquake,AFG
1,us7000m42n,2024-03-08 05:50:34.667,"11 km NNW of Ashkāsham, Afghanistan",36.7883,71.5034,260.647,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m42n,earthquake,AFG
2,us7000m4ql,2024-03-11 19:31:02.139,"33 km S of Jurm, Afghanistan",36.5653,70.8546,216.362,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ql,earthquake,AFG
3,us6000milk,2024-03-13 15:24:11.785,"46 km SE of Farkhār, Afghanistan",36.2706,70.21,133.299,4.9,371,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000milk,earthquake,AFG
4,us6000mimm,2024-03-13 16:42:09.718,"44 km SSE of Jurm, Afghanistan",36.4936,71.0078,160.79,4.3,285,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mimm,earthquake,AFG
5,us6000miw5,2024-03-14 16:12:32.122,"25 km ENE of Khorugh, Tajikistan",37.5695,71.8274,114.142,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miw5,earthquake,AFG
6,us6000mjg2,2024-03-17 14:29:24.711,"14 km WNW of Ashkāsham, Afghanistan",36.7248,71.3751,192.93,4.1,259,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjg2,earthquake,AFG
7,us6000mjjk,2024-03-18 07:26:19.507,"12 km E of Norak, Tajikistan",38.4067,69.4641,10.0,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjjk,earthquake,AFG
8,us6000mjpj,2024-03-19 00:35:19.253,"64 km WNW of Nushki, Pakistan",29.7078,65.3794,10.0,5.5,472,green,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjpj,earthquake,AFG
9,us6000mjux,2024-03-19 21:27:01.034,"68 km WNW of Nushki, Pakistan",29.7493,65.3531,6.0,5.3,438,green,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjux,earthquake,AFG
10,us6000mjwc,2024-03-20 04:19:28.902,"27 km WSW of Nushki, Pakistan",29.4337,65.779,116.57,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjwc,earthquake,AFG
11,us6000mksq,2024-03-23 19:54:38.210,"38 km NE of Nahrīn, Afghanistan",36.3476,69.3775,159.206,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mksq,earthquake,AFG
12,us6000mkyg,2024-03-24 10:36:04.716,"25 km ESE of Jurm, Afghanistan",36.7444,71.0729,93.166,3.8,222,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkyg,earthquake,AFG
13,us6000ml0p,2024-03-25 03:27:32.150,"55 km NW of Taunsa, Pakistan",31.0337,70.2095,10.0,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ml0p,earthquake,AFG
14,us6000ml18,2024-03-25 03:28:39.078,"62 km NNW of Taunsa, Pakistan",31.177,70.2935,10.0,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ml18,earthquake,AFG
15,us7000m81m,2024-03-26 08:02:55.572,"30 km SSE of Jurm, Afghanistan",36.6253,71.0117,215.241,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m81m,earthquake,AFG
16,us7000m8a2,2024-03-27 11:39:22.833,"20 km SE of Khulm, Afghanistan",36.5861,67.8747,35.463,4.3,285,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8a2,earthquake,AFG
17,us7000m8ib,2024-03-28 10:55:10.269,"57 km SSW of Ashkāsham, Afghanistan",36.2506,71.1753,106.239,5.1,401,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8ib,earthquake,AFG
18,us7000m8nq,2024-03-28 23:41:54.862,"74 km NNE of Pārūn, Afghanistan",36.0779,71.114,91.327,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8nq,earthquake,AFG
19,us7000m8zj,2024-03-30 20:27:34.499,"57 km W of Nushki, Pakistan",29.6028,65.4323,10.0,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8zj,earthquake,AFG
20,us7000m92k,2024-03-31 13:25:33.362,"8 km WNW of Ashkāsham, Afghanistan",36.7224,71.4464,176.672,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m92k,earthquake,AFG
21,us6000migx,2024-03-12 20:00:12.362,"49 km NNW of Sandy Ground Village, Anguilla",18.5765,-63.3442,43.912,4.3,285,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000migx,earthquake,AIA
22,us6000mkf2,2024-03-22 05:20:40.487,"32 km WSW of Agios Georgis, Greece",39.6534,19.3362,10.0,4.8,358,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkf2,earthquake,ALB
23,us6000mfzx,2024-03-01 05:37:36.603,"50 km WNW of Ovalle, Chile",-30.3815,-71.6559,38.051,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mfzx,earthquake,ARG
24,us6000mg5h,2024-03-01 18:06:12.734,"4 km SW of Colonia Dora, Argentina",-28.6238,-62.9885,616.553,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mg5h,earthquake,ARG
25,us6000mg97,2024-03-02 04:28:53.750,"108 km SE of San Agustín de Valle Fértil, Argentina",-31.4518,-66.8363,130.957,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mg97,earthquake,ARG
26,us6000mg9x,2024-03-02 07:52:43.151,"50 km NW of Ovalle, Chile",-30.3449,-71.6322,35.918,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mg9x,earthquake,ARG
27,us6000mgbw,2024-03-02 16:05:54.387,"44 km NNE of San Pedro de Atacama, Chile",-22.5225,-68.0945,157.763,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgbw,earthquake,ARG
28,us6000mgew,2024-03-03 06:05:31.932,"37 km S of Coquimbo, Chile",-30.2854,-71.3857,44.09,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgew,earthquake,ARG
29,us6000mgmd,2024-03-04 09:13:06.703,"42 km W of Coquimbo, Chile",-30.0001,-71.7744,28.124,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgmd,earthquake,ARG
