,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,country,date,timestamp,level
488452,usp000bmuc,2003-01-01 00:14:10.600,southern Mid-Atlantic Ridge,-48.127,-9.789,10.0,5.6,482,nan,NZL,2003-01-01,00:14:10.600000,moderate
226746,usp000bmud,2003-01-01 00:18:43.890,"8 km NNW of Limones, Panama",8.166,-82.903,33.0,4.6,326,nan,CRI,2003-01-01,00:18:43.890000,light
531343,usp000bmud,2003-01-01 00:18:43.890,"8 km NNW of Limones, Panama",8.166,-82.903,33.0,4.6,326,nan,PAN,2003-01-01,00:18:43.890000,light
263907,usp000bmue,2003-01-01 00:21:01.600,"28 km WSW of Amorgós, Greece",36.7,25.62,5.0,3.5,188,nan,GRC,2003-01-01,00:21:01.600000,minor
306620,usp000bmuf,2003-01-01 00:45:04.950,"116 km WSW of Nabire, Indonesia",-3.827,134.561,10.0,4.5,312,nan,IDN,2003-01-01,00:45:04.950000,light
698436,ci9875257,2003-01-01 00:51:44.670,"13km SSW of Santa Barbara Is., CA",33.3668333,-119.1311667,6.769,3.49,187,nan,USA,2003-01-01,00:51:44.670000,minor
234674,usp000bmuh,2003-01-01 00:55:55.880,"0 km S of Berrouaghia, Algeria",36.132,2.911,10.0,4.8,354,nan,DZA,2003-01-01,00:55:55.880000,light
242445,usp000bmuh,2003-01-01 00:55:55.880,"0 km S of Berrouaghia, Algeria",36.132,2.911,10.0,4.8,354,nan,ESP,2003-01-01,00:55:55.880000,light
306621,usp000bmuj,2003-01-01 01:13:12.390,"47 km WNW of Sumbawa Besar, Indonesia",-8.281,117.047,33.0,4.2,271,nan,IDN,2003-01-01,01:13:12.390000,light
593174,usp000bmuk,2003-01-01 01:33:21.750,"92 km ESE of Petropavlovsk-Kamchatsky, Russia",52.882,160.0,47.3,4.8,354,nan,RUS,2003-01-01,01:33:21.750000,light
367462,usp000bmum,2003-01-01 01:56:48.000,"20 km SE of Masjed Soleym?n, Iran",31.801,49.445,33.0,4.7,340,nan,IRN,2003-01-01,01:56:48,light
616836,usp000bmum,2003-01-01 01:56:48.000,"20 km SE of Masjed Soleym?n, Iran",31.801,49.445,33.0,4.7,340,nan,SAU,2003-01-01,01:56:48,light
26975,usp000bmun,2003-01-01 02:15:13.800,"16 km NNW of Calingasta, Argentina",-31.194,-69.469,159.0,3.1,148,nan,ARG,2003-01-01,02:15:13.800000,minor
101044,usp000bmun,2003-01-01 02:15:13.800,"16 km NNW of Calingasta, Argentina",-31.194,-69.469,159.0,3.1,148,nan,BRA,2003-01-01,02:15:13.800000,minor
151405,usp000bmun,2003-01-01 02:15:13.800,"16 km NNW of Calingasta, Argentina",-31.194,-69.469,159.0,3.1,148,nan,CHL,2003-01-01,02:15:13.800000,minor
488453,usp000bmun,2003-01-01 02:15:13.800,"16 km NNW of Calingasta, Argentina",-31.194,-69.469,159.0,3.1,148,nan,NZL,2003-01-01,02:15:13.800000,minor
26976,usp000bmuq,2003-01-01 02:59:20.100,"44 km WNW of Ovalle, Chile",-30.403,-71.597,30.7,3.2,158,nan,ARG,2003-01-01,02:59:20.100000,minor
101045,usp000bmuq,2003-01-01 02:59:20.100,"44 km WNW of Ovalle, Chile",-30.403,-71.597,30.7,3.2,158,nan,BRA,2003-01-01,02:59:20.100000,minor
151406,usp000bmuq,2003-01-01 02:59:20.100,"44 km WNW of Ovalle, Chile",-30.403,-71.597,30.7,3.2,158,nan,CHL,2003-01-01,02:59:20.100000,minor
488454,usp000bmuq,2003-01-01 02:59:20.100,"44 km WNW of Ovalle, Chile",-30.403,-71.597,30.7,3.2,158,nan,NZL,2003-01-01,02:59:20.100000,minor
263908,usp000bmur,2003-01-01 03:17:58.600,"14 km ESE of Chóra Sfakíon, Greece",35.15,24.28,11.0,3.3,168,nan,GRC,2003-01-01,03:17:58.600000,minor
263909,usp000bmus,2003-01-01 03:39:48.800,"3 km NE of Sardínia, Greece",38.91,21.24,22.0,3.3,168,nan,GRC,2003-01-01,03:39:48.800000,minor
263910,usp000bmut,2003-01-01 03:43:11.200,"7 km ENE of Néa Potídhaia, Greece",40.21,23.41,10.0,3.2,158,nan,GRC,2003-01-01,03:43:11.200000,minor
393909,usp000bmuu,2003-01-01 03:53:26.140,"121 km WNW of Iwanai, Japan",43.49,139.191,235.7,4.0,246,nan,JPN,2003-01-01,03:53:26.140000,light
593175,usp000bmuu,2003-01-01 03:53:26.140,"121 km WNW of Iwanai, Japan",43.49,139.191,235.7,4.0,246,nan,RUS,2003-01-01,03:53:26.140000,light
263911,usp000bmuw,2003-01-01 04:03:29.900,"8 km WSW of Kríkellos, Greece",38.91,21.09,15.0,3.0,138,nan,GRC,2003-01-01,04:03:29.900000,minor
3170,usp000bmuy,2003-01-01 04:14:37.410,"57 km S of Jurm, Afghanistan",36.354,70.734,200.0,3.9,234,nan,AFG,2003-01-01,04:14:37.410000,minor
525014,usp000bmuy,2003-01-01 04:14:37.410,"57 km S of Jurm, Afghanistan",36.354,70.734,200.0,3.9,234,nan,PAK,2003-01-01,04:14:37.410000,minor
284740,usp000bmuz,2003-01-01 04:15:48.130,"10 km NNW of Comapa, Guatemala",14.201,-89.937,161.1,3.5,188,nan,GTM,2003-01-01,04:15:48.130000,minor
634322,usp000bmuz,2003-01-01 04:15:48.130,"10 km NNW of Comapa, Guatemala",14.201,-89.937,161.1,3.5,188,nan,SLV,2003-01-01,04:15:48.130000,minor
26977,usp000bmv0,2003-01-01 04:35:44.400,"26 km SW of Ovalle, Chile",-30.753,-71.419,40.7,3.5,188,nan,ARG,2003-01-01,04:35:44.400000,minor
101046,usp000bmv0,2003-01-01 04:35:44.400,"26 km SW of Ovalle, Chile",-30.753,-71.419,40.7,3.5,188,nan,BRA,2003-01-01,04:35:44.400000,minor
151407,usp000bmv0,2003-01-01 04:35:44.400,"26 km SW of Ovalle, Chile",-30.753,-71.419,40.7,3.5,188,nan,CHL,2003-01-01,04:35:44.400000,minor
488455,usp000bmv0,2003-01-01 04:35:44.400,"26 km SW of Ovalle, Chile",-30.753,-71.419,40.7,3.5,188,nan,NZL,2003-01-01,04:35:44.400000,minor
26978,usp000bmv2,2003-01-01 06:07:20.100,"51 km WNW of La Ligua, Chile",-32.252,-71.719,12.4,3.4,178,nan,ARG,2003-01-01,06:07:20.100000,minor
101047,usp000bmv2,2003-01-01 06:07:20.100,"51 km WNW of La Ligua, Chile",-32.252,-71.719,12.4,3.4,178,nan,BRA,2003-01-01,06:07:20.100000,minor
151408,usp000bmv2,2003-01-01 06:07:20.100,"51 km WNW of La Ligua, Chile",-32.252,-71.719,12.4,3.4,178,nan,CHL,2003-01-01,06:07:20.100000,minor
488456,usp000bmv2,2003-01-01 06:07:20.100,"51 km WNW of La Ligua, Chile",-32.252,-71.719,12.4,3.4,178,nan,NZL,2003-01-01,06:07:20.100000,minor
306622,usp000bmv3,2003-01-01 06:23:08.620,"56 km N of Labuan Bajo, Indonesia",-7.99,119.909,168.9,5.3,432,nan,IDN,2003-01-01,06:23:08.620000,moderate
60987,usp000bmv8,2003-01-01 07:49:12.320,Macquarie Island region,-54.827,158.49,10.0,4.4,298,nan,AUS,2003-01-01,07:49:12.320000,light
26979,usp000bmva,2003-01-01 08:25:30.900,"47 km WNW of La Ligua, Chile",-32.252,-71.682,12.3,3.5,188,nan,ARG,2003-01-01,08:25:30.900000,minor
101048,usp000bmva,2003-01-01 08:25:30.900,"47 km WNW of La Ligua, Chile",-32.252,-71.682,12.3,3.5,188,nan,BRA,2003-01-01,08:25:30.900000,minor
151409,usp000bmva,2003-01-01 08:25:30.900,"47 km WNW of La Ligua, Chile",-32.252,-71.682,12.3,3.5,188,nan,CHL,2003-01-01,08:25:30.900000,minor
